bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Bangalore to Goa,Shanta Travels,NON A/C Sleeper (2+1),2024-07-18 19:30:00,12h 45m,2024-07-18 08:15:00,4.1,1010,"11 Seats available
1 Single"
Bangalore to Goa,Sea Bird Tourist,NON A/C Sleeper (2+1),2024-07-18 20:30:00,13h 30m,2024-07-18 10:00:00,3.5,800,12 Seats available
Bangalore to Goa,Sea Bird Tourist,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),2024-07-18 23:30:00,13h 00m,2024-07-18 12:30:00,3.4,700,"36 Seats available
17 Window"
Bangalore to Goa,Sea Bird Tourist,NON A/C Sleeper (2+1),2024-07-18 18:00:00,13h 00m,2024-07-18 07:00:00,3.3,800,9 Seats available
Bangalore to Goa,Sugama Tourist,NON A/C Sleeper (2+1),2024-07-18 20:30:00,11h 15m,2024-07-18 07:45:00,3.5,950,4 Seats available
Bangalore to Goa,Sea Bird Tourist,A/C Sleeper (2+1),2024-07-18 21:15:00,13h 00m,2024-07-18 10:15:00,2.9,1100,23 Seats available
Bangalore to Goa,Sugama Tourist,NON A/C Sleeper (2+1),2024-07-18 20:30:00,12h 15m,2024-07-18 08:45:00,3.1,1000,4 Seats available
Bangalore to Goa,Sea Bird Tourist,A/C Sleeper (2+1),2024-07-18 22:15:00,13h 00m,2024-07-18 11:15:00,2.6,1100,21 Seats available
Bangalore to Goa,Sugama Tourist,NON A/C Sleeper (2+1),2024-07-18 20:30:00,11h 45m,2024-07-18 08:15:00,3.9,1000,4 Seats available
Bangalore to Goa,Anand Travels,NON A/C Sleeper (2+1),2024-07-18 19:00:00,12h 00m,2024-07-18 07:00:00,3.0,910,"2 Seats available
1 Single"
Goa to Pandharpur,Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,2024-07-18 19:00:00,12h 00m,2024-07-18 07:00:00,3.2,735,"7 Seats available
3 Window"
Belagavi to Goa,S R Travels,NON A/C Sleeper (2+1),2024-07-18 01:00:00,05h 00m,2024-07-18 06:00:00,1.2,799,"1 Seat available
1 Single"
Goa to Bangalore,Kadamba Transport Corporation Limited (KTCL) - 5633,Volvo AC Seater 2+2,2024-07-18 18:30:00,14h 00m,2024-07-18 08:30:00,3.9,700,"24 Seats available
9 Window"
Goa to Bangalore,Intercity travels,Bharat Benz A/C Sleeper (2+1),2024-07-18 18:00:00,13h 15m,2024-07-18 07:15:00,4.5,1099,"17 Seats available
6 Single"
Goa to Bangalore,Sunrise Tours and Travels,A/C Sleeper (2+1),2024-07-18 18:30:00,12h 40m,2024-07-18 07:10:00,4.4,999,"6 Seats available
2 Window"
Goa to Bangalore,Streamline tours and travels,A/C Sleeper (2+1),2024-07-18 18:00:00,12h 30m,2024-07-18 06:30:00,4.1,899,"23 Seats available
7 Single"
Goa to Bangalore,IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 19:00:00,13h 35m,2024-07-18 08:35:00,4.2,1043,"9 Seats available
3 Single"
Goa to Bangalore,Streamline tours and travels,A/C Sleeper (2+1),2024-07-18 19:00:00,12h 30m,2024-07-18 07:30:00,4.1,899,"26 Seats available
8 Single"
Goa to Bangalore,Sea Bird Tourist,A/C Sleeper (2+1),2024-07-18 20:30:00,13h 00m,2024-07-18 09:30:00,3.4,900,24 Seats available
Goa to Bangalore,Sugama Tourist,NON A/C Sleeper (2+1),2024-07-18 19:45:00,12h 00m,2024-07-18 07:45:00,3.3,900,"17 Seats available
3 Single"
Goa to Bangalore,Sea Bird Tourist,NON A/C Sleeper (2+1),2024-07-18 17:30:00,14h 00m,2024-07-18 07:30:00,3.2,700,16 Seats available
Goa to Bangalore,Anand Travels,NON A/C Sleeper (2+1),2024-07-18 18:30:00,12h 15m,2024-07-18 06:45:00,2.5,610,"16 Seats available
5 Single"
Goa to Bangalore,Sugama Tourist,NON A/C Sleeper (2+1),2024-07-18 18:00:00,13h 45m,2024-07-18 07:45:00,4.7,900,"17 Seats available
3 Single"
Goa to Bangalore,Sea Bird Tourist,A/C Sleeper (2+1),2024-07-18 17:00:00,14h 00m,2024-07-18 07:00:00,1.9,900,25 Seats available
Goa to Bangalore,Sugama Tourist,NON A/C Sleeper (2+1),2024-07-18 19:00:00,12h 45m,2024-07-18 07:45:00,2.7,900,"20 Seats available
6 Single"
Goa to Bangalore,Sea Bird Tourist,NON A/C Sleeper (2+1),2024-07-18 18:30:00,14h 00m,2024-07-18 08:30:00,2.9,700,24 Seats available
Goa to Bangalore,Janatha Travels,NON A/C Sleeper (2+1),2024-07-18 19:00:00,11h 35m,2024-07-18 06:35:00,3.5,12345,"17 Seats available
5 Single"
Solapur to Goa,Humsafar Travels,A/C Sleeper (2+1),2024-07-18 23:30:00,09h 30m,2024-07-18 09:00:00,3.3,1350,"9 Seats available
1 Single"
Solapur to Goa,S R Travels,A/C Seater/Sleeper (2+1),2024-07-18 18:45:00,12h 15m,2024-07-18 07:00:00,2.9,800,1 Seat available
Goa to Kolhapur(Maharashtra),Kadamba Transport Corporation Limited (KTCL) - 60996,Non AC Seater 2+2,2024-07-18 19:00:00,07h 30m,2024-07-18 02:30:00,3.4,420,"7 Seats available
3 Window"
Goa to Kolhapur(Maharashtra),Shri Ganesh Travels,A/C Seater (2+2),2024-07-18 15:30:00,04h 30m,2024-07-18 20:00:00,3.2,999,"31 Seats available
15 Window"
Goa to Kolhapur(Maharashtra),Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),2024-07-18 16:30:00,06h 30m,2024-07-18 23:00:00,3.3,650,"22 Seats available
6 Single"
Goa to Kolhapur(Maharashtra),IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 16:30:00,06h 00m,2024-07-18 22:30:00,4.1,550,"13 Seats available
8 Single"
Goa to Kolhapur(Maharashtra),Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),2024-07-18 17:30:00,06h 10m,2024-07-18 23:40:00,3.3,626,"26 Seats available
8 Single"
Goa to Kolhapur(Maharashtra),Zingbus Plus,Bharat Benz A/C Sleeper (2+1),2024-07-18 18:10:00,06h 05m,2024-07-18 00:15:00,4.6,632,"13 Seats available
2 Single"
Goa to Kolhapur(Maharashtra),IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 18:30:00,06h 15m,2024-07-18 00:45:00,4.5,600,"22 Seats available
5 Single"
Goa to Kolhapur(Maharashtra),Atmaram Travels Goa,A/C Sleeper (2+1),2024-07-18 19:00:00,06h 45m,2024-07-18 01:45:00,4.1,606,"27 Seats available
11 Single"
Goa to Kolhapur(Maharashtra),Amrutyog Travels,A/C Sleeper (2+1),2024-07-18 19:00:00,07h 30m,2024-07-18 02:30:00,4.5,555,"17 Seats available
2 Single"
Goa to Kolhapur(Maharashtra),PSR Travels Goa,A/C Sleeper (2+1),2024-07-18 19:15:00,05h 45m,2024-07-18 01:00:00,3.6,599,"27 Seats available
8 Single"
Goa to Kolhapur(Maharashtra),IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 19:30:00,05h 40m,2024-07-18 01:10:00,4.9,600,"13 Seats available
2 Single"
Goa to Kolhapur(Maharashtra),Laxmi Queen Prime,A/C Sleeper (2+1),2024-07-18 19:30:00,06h 00m,2024-07-18 01:30:00,3.9,699,"22 Seats available
8 Single"
Goa to Kolhapur(Maharashtra),Vaibhav Travels,A/C Sleeper (2+1),2024-07-18 20:00:00,10h 12m,2024-07-18 06:12:00,3.6,475,"26 Seats available
2 Single"
Goa to Kolhapur(Maharashtra),IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 20:00:00,07h 15m,2024-07-18 03:15:00,4.5,500,"20 Seats available
7 Single"
